id,name,age,gender,neighborhood,income,consuming_sweet_drinks
140,Shira Levi,25,Female,Neve Tzedek,12348,Low
141,David Haddad,54,Male,Neve Tzedek,10903,Low
142,Dana Haddad,23,Female,Ajami,5445,High
143,Eitan Shapiro,33,Male,Shapira,5364,High
144,Itzhak Weiss,22,Male,Shapira,5117,Low
145,Maya Cohen,27,Female,Shapira,4018,High
146,Ido Bar,22,Male,Shapira,4280,Low
147,Avigail Bar,21,Female,Shapira,4219,High
148,Tomer Azoulay,31,Male,Shapira,4774,High
149,Tamar Katz,28,Female,Ajami,4045,High
150,Noam Azoulay,39,Male,Ajami,5923,Low
151,Rotem Bar,20,Female,Shapira,5644,High
152,Shani Mizrahi,21,Female,Shapira,4402,High
153,Liat Biton,34,Female,Shapira,5328,High
154,Tamar Shapiro,25,Female,Neve Tzedek,12242,Low
155,Matan Haddad,27,Male,Neve Tzedek,11598,Low
156,Neta Avraham,25,Female,Ajami,4090,Low
157,Adi Ohayon,20,Female,Ajami,5861,High
158,Rotem Haddad,38,Female,Ajami,4123,High
159,Noa Peretz,31,Female,Neve Tzedek,12307,Low
160,Yael David,39,Female,Shapira,4376,Low
161,Michal David,29,Female,Neve Tzedek,12059,Low
162,Tamar Levi,34,Female,Shapira,5068,Low
163,Sarah Katz,22,Female,Ajami,5331,High
164,Gal Azoulay,31,Male,Shapira,5721,High
165,Talia David,30,Female,Neve Tzedek,11646,Low
166,Yael Ohayon,25,Female,Neve Tzedek,8308,Moderate
167,Leah Gabai,26,Female,Ajami,5889,Low
168,Ben Ohayon,29,Male,Neve Tzedek,11785,Low
169,Roni Peretz,31,Female,Ajami,5949,High
170,David Peretz,43,Male,Neve Tzedek,11083,Low
171,Neta Cohen,24,Female,Ajami,5553,High
172,Yosef Azoulay,33,Male,Shapira,4915,High
173,Lior Goldberg,41,Male,Shapira,5427,High
174,David Azoulay,43,Male,Ajami,5361,High
175,Noa Avraham,29,Female,Shapira,5410,High
176,Tamar Biton,27,Female,Neve Tzedek,11539,Moderate
177,Noa Friedman,29,Female,Neve Tzedek,9085,Moderate
178,Itzhak Biton,35,Male,Neve Tzedek,9592,Moderate
179,Noa David,50,Female,Shapira,4960,High
180,Neta Dahan,31,Female,Neve Tzedek,10146,Moderate
181,Roni Segal,29,Female,Neve Tzedek,11072,Moderate
182,Ariel Katz,33,Male,Neve Tzedek,10574,Low
183,Noam Bar,21,Male,Shapira,4340,High
184,Lior Cohen,26,Male,Neve Tzedek,9333,Low
185,Lior Cohen,20,Male,Shapira,5243,High
186,Dana Mizrahi,32,Female,Ajami,5885,Low
187,Noa Haddad,29,Female,Neve Tzedek,12657,Low
188,Hadar Levi,28,Female,Shapira,4680,Low
189,Avigail Katz,22,Female,Ajami,5052,High
190,Maya Azoulay,22,Female,Ajami,4873,High
191,Yosef Friedman,26,Male,Shapira,4829,High
192,Eitan Bar,35,Male,Ajami,4148,Low
193,Neta Levi,29,Female,Shapira,4290,High
194,Shani Cohen,24,Female,Ajami,4948,High
195,Dana Biton,46,Female,Ajami,5743,High
196,David Dahan,49,Male,Neve Tzedek,10678,Low
197,Liat Katz,27,Female,Ajami,5944,Low
198,Uri Katz,50,Male,Shapira,4365,High
199,Tamar Cohen,32,Female,Neve Tzedek,9592,Moderate
200,Shira Avraham,39,Female,Neve Tzedek,11183,Moderate
201,Noa Segal,22,Female,Shapira,4695,High
202,Adam Gabai,22,Male,Ajami,5422,High
203,Matan Shapiro,29,Male,Neve Tzedek,9570,Low
204,Tamar Shapiro,25,Female,Neve Tzedek,8246,Moderate
205,Omer Gabai,25,Male,Ajami,4436,High
206,Eitan Azoulay,43,Male,Shapira,5492,High
207,Omer Biton,30,Male,Neve Tzedek,12878,Low
208,Roni Weiss,25,Female,Ajami,5624,Low
209,Talia Rubin,25,Female,Shapira,5221,High
210,David Biton,38,Male,Neve Tzedek,12539,Low
211,Daniel Katz,27,Male,Ajami,4401,Low
212,Adam Segal,20,Male,Ajami,5846,High
213,Eitan Azoulay,27,Male,Shapira,4802,High
214,Shani Weiss,21,Female,Ajami,4512,Low
215,Yosef Haddad,21,Male,Ajami,5830,High
216,Ariel Segal,30,Male,Shapira,4259,Low
217,Yosef Levi,20,Male,Shapira,5696,High
218,Ariel Weiss,49,Male,Neve Tzedek,12042,Low
219,Ben Avraham,46,Male,Shapira,4029,High
220,Eitan Cohen,36,Male,Neve Tzedek,9960,Low
221,Yosef Friedman,20,Male,Shapira,5218,High
222,Leah David,31,Female,Shapira,5399,High
223,Avraham Avraham,21,Male,Ajami,4478,Low
224,Esther Levi,32,Female,Neve Tzedek,11125,Low
225,Avigail Friedman,36,Female,Neve Tzedek,11485,Low
226,Tomer Dahan,36,Male,Shapira,4935,High
227,Uri Cohen,46,Male,Neve Tzedek,12996,Low
228,Noam Levi,25,Male,Shapira,4322,Low
229,Tamar Peretz,32,Female,Shapira,5381,Low
230,Shira Katz,45,Female,Shapira,5254,High
231,Eli Segal,28,Male,Ajami,5694,High
232,Shani Shapiro,35,Female,Ajami,4487,High
233,Uri Goldberg,33,Male,Ajami,4226,High
234,Rotem Gabai,42,Female,Ajami,4059,High
235,Yosef Levi,26,Male,Neve Tzedek,9875,Low
236,Hila Dahan,36,Female,Ajami,5045,Low
237,Matan Biton,41,Male,Ajami,4895,High
238,Hila Segal,33,Female,Shapira,4062,Low
239,Hila Biton,26,Female,Neve Tzedek,10024,Moderate
240,Hadar Ohayon,20,Female,Shapira,4887,High
241,Matan Azoulay,37,Male,Ajami,5921,High
242,Tomer Dahan,21,Male,Ajami,5595,High
243,Yonatan Ohayon,28,Male,Ajami,4476,High
244,Yonatan Haddad,47,Male,Shapira,4804,Low
245,Matan Goldberg,39,Male,Shapira,4362,High
246,Adam Katz,25,Male,Shapira,4863,Low
247,Yonatan Cohen,33,Male,Neve Tzedek,9929,Moderate
248,Adam Friedman,43,Male,Shapira,5363,High
249,Daniel Friedman,24,Male,Shapira,4924,High
250,Roni Katz,43,Female,Shapira,4841,High
251,Michal Dahan,25,Female,Ajami,5880,Low
252,Adam Avraham,32,Male,Ajami,4509,Low
253,Esther Shapiro,24,Female,Ajami,5772,High
254,Tomer Rubin,26,Male,Neve Tzedek,10369,Low
255,Eli Azoulay,30,Male,Ajami,5419,High
256,Michal Cohen,23,Female,Ajami,4912,Low
257,Avraham David,37,Male,Ajami,4307,High
258,Eitan Katz,29,Male,Neve Tzedek,10944,Moderate
259,Ido Azoulay,28,Male,Neve Tzedek,12759,Low
260,Sarah Friedman,32,Female,Neve Tzedek,8979,Low
261,Gal Segal,23,Male,Shapira,4095,High
262,Sarah Peretz,28,Female,Ajami,5226,Low
263,Ben Haddad,22,Male,Ajami,5244,Low
264,Tomer Shapiro,21,Male,Shapira,4960,High
265,Eli Shapiro,26,Male,Neve Tzedek,12425,Low
266,Yonatan Friedman,25,Male,Shapira,5625,High
267,Daniel Haddad,36,Male,Shapira,4609,High
268,Adam Levi,48,Male,Ajami,4712,Low
269,Rotem Goldberg,21,Female,Shapira,4142,High
270,Tamar Dahan,42,Female,Shapira,4074,High
271,Michal Dahan,25,Female,Shapira,4195,High
272,Tomer Weiss,21,Male,Shapira,5025,Low
273,Shira Friedman,25,Female,Neve Tzedek,8698,Low
274,Neta Bar,35,Female,Neve Tzedek,9954,Moderate
275,Tomer Bar,46,Male,Neve Tzedek,8205,Low
276,Hila Katz,38,Female,Neve Tzedek,9505,Low
277,Avraham Friedman,30,Male,Ajami,4783,High
278,Maya Bar,20,Female,Ajami,5643,High
279,David Goldberg,29,Male,Neve Tzedek,11128,Low
280,Ido Rubin,23,Male,Ajami,5932,High
281,Esther Ohayon,35,Female,Shapira,4601,High
282,Daniel Avraham,38,Male,Ajami,4085,Low
283,Lior Bar,32,Male,Ajami,4854,High
284,Shani Cohen,40,Female,Neve Tzedek,8693,Low
285,Noam Gabai,25,Male,Neve Tzedek,11890,Low
286,Yonatan Friedman,21,Male,Ajami,4338,Low
287,Sarah Ohayon,23,Female,Ajami,4725,Low
288,Maya Gabai,26,Female,Neve Tzedek,11573,Moderate
289,Eli Peretz,28,Male,Neve Tzedek,10915,Low
290,Maya Biton,24,Female,Ajami,4734,Low
291,Maya Cohen,30,Female,Ajami,4593,High
292,Adam Avraham,33,Male,Ajami,4319,Low
293,Shira Azoulay,38,Female,Shapira,4322,Low
294,Adi Weiss,26,Female,Ajami,4823,High
295,David Cohen,40,Male,Shapira,4586,High
296,Dana Gabai,32,Female,Neve Tzedek,12278,Moderate
297,Noam Levi,24,Male,Ajami,5389,High
298,David Dahan,21,Male,Shapira,4670,High
299,Michal Weiss,25,Female,Shapira,4120,High
300,Adam Biton,32,Male,Shapira,4688,High
301,Esther Katz,36,Female,Neve Tzedek,8511,Low
302,Neta Segal,22,Female,Shapira,5993,High
303,Michal Gabai,45,Female,Neve Tzedek,10307,Low
304,Dana Goldberg,28,Female,Neve Tzedek,11971,Low
305,Avigail Rubin,29,Female,Shapira,5941,High
306,Omer Biton,43,Male,Ajami,5059,Low
307,Moshe Avraham,28,Male,Neve Tzedek,9598,Moderate
308,Omer Mizrahi,28,Male,Ajami,4582,Low
309,Shira Gabai,40,Female,Neve Tzedek,9219,Low
310,Ido Levi,25,Male,Neve Tzedek,9832,Low
311,Noam Levi,25,Male,Neve Tzedek,11848,Low
312,Rotem Levi,34,Female,Neve Tzedek,12501,Moderate
313,Hadar Friedman,27,Female,Neve Tzedek,10094,Low
314,Yael Bar,30,Female,Ajami,4666,High
315,Roni Levi,27,Female,Shapira,5214,High
316,Adi Shapiro,27,Female,Shapira,5646,High
317,Matan Avraham,23,Male,Ajami,4271,High
318,Shani Shapiro,32,Female,Shapira,5762,Low
319,Matan Avraham,34,Male,Ajami,4342,Low
320,Avraham Peretz,32,Male,Shapira,4921,Low
321,Noam Biton,24,Male,Ajami,5881,High
322,David Biton,28,Male,Shapira,4496,High
323,Maya David,33,Female,Ajami,4064,High
324,Rotem Weiss,36,Female,Ajami,5195,High
325,Michal Goldberg,25,Female,Shapira,4666,Low
326,Adam Mizrahi,24,Male,Ajami,4715,High
327,Hadar Dahan,22,Female,Ajami,5539,High
328,Esther Katz,45,Female,Neve Tzedek,10129,Low
329,Yosef Peretz,35,Male,Shapira,4401,High
330,Avigail Rubin,43,Female,Shapira,5357,High
331,Adi Ohayon,44,Female,Ajami,4258,High
332,Tamar Goldberg,27,Female,Ajami,4945,High
333,Uri Biton,25,Male,Neve Tzedek,10346,Moderate
334,Ariel Katz,22,Male,Shapira,4142,High
335,Avigail Weiss,26,Female,Neve Tzedek,12431,Moderate
336,Neta Haddad,53,Female,Shapira,4187,High
337,Eli Mizrahi,21,Male,Ajami,4197,Low
338,Leah Azoulay,46,Female,Neve Tzedek,9945,Moderate
339,Ido David,26,Male,Neve Tzedek,12865,Moderate
340,Matan Dahan,21,Male,Ajami,4476,Low
341,Sarah Weiss,46,Female,Neve Tzedek,10951,Moderate
342,Hila Shapiro,37,Female,Ajami,4412,Low
343,Leah Katz,37,Female,Neve Tzedek,8329,Low
344,Tomer Avraham,21,Male,Ajami,5821,Low
345,Leah Biton,26,Female,Shapira,4316,Low
346,Michal Rubin,30,Female,Ajami,5056,High
347,Eli Ohayon,35,Male,Neve Tzedek,11898,Low
348,Tomer Azoulay,36,Male,Shapira,4855,High
349,Shani Biton,35,Female,Shapira,4576,High
350,Yosef Mizrahi,22,Male,Ajami,4735,Low
351,Omer Avraham,21,Male,Shapira,5731,Low
352,Liat Shapiro,20,Female,Shapira,4091,High
353,Daniel Segal,53,Male,Ajami,4323,High
354,Liat Goldberg,31,Female,Ajami,4246,High
355,Eitan David,36,Male,Neve Tzedek,11177,Low
356,Gal Katz,23,Male,Ajami,4545,High
357,David Ohayon,40,Male,Ajami,4710,Low
358,Tomer Gabai,50,Male,Ajami,4370,High
359,Avraham Goldberg,26,Male,Ajami,5190,High
360,Lior Weiss,20,Male,Ajami,5026,High
361,Matan Mizrahi,38,Male,Shapira,5096,High
362,Roni Ohayon,30,Female,Neve Tzedek,10836,Moderate
363,Noa Segal,29,Female,Shapira,4602,Low
364,Yonatan Friedman,25,Male,Ajami,5087,High
365,Liat Segal,23,Female,Shapira,5247,High
366,Roni Ohayon,24,Female,Ajami,5307,High
367,Talia Rubin,34,Female,Neve Tzedek,9091,Moderate
368,Ariel Avraham,50,Male,Neve Tzedek,10928,Low
369,Rotem David,27,Female,Ajami,4282,High
370,Tamar Biton,23,Female,Shapira,5531,High
371,Gal Levi,39,Male,Neve Tzedek,9553,Low
372,Omer Peretz,27,Male,Shapira,4705,Low
373,Lior Gabai,21,Male,Shapira,5283,Low
374,Eitan David,26,Male,Neve Tzedek,9519,Low
375,Yosef David,30,Male,Neve Tzedek,10813,Moderate
376,Noam David,31,Male,Ajami,4146,High
377,Esther Biton,24,Female,Ajami,4090,High
378,Maya David,21,Female,Shapira,5511,High
379,Roni Katz,43,Female,Neve Tzedek,11534,Low
380,Omer Gabai,26,Male,Neve Tzedek,10909,Low
381,Ariel Bar,51,Male,Ajami,4842,Low
382,Itzhak Bar,20,Male,Shapira,4200,High
383,Yael Azoulay,24,Female,Ajami,4506,Low
384,Michal Friedman,29,Female,Neve Tzedek,9792,Moderate
385,Adam Biton,43,Male,Neve Tzedek,10684,Low
386,Esther Segal,40,Female,Neve Tzedek,11663,Low
387,Tamar Cohen,22,Female,Shapira,4188,Low
388,Noa Avraham,32,Female,Neve Tzedek,10032,Low
389,Adam Dahan,47,Male,Shapira,4002,High
390,Noam Gabai,31,Male,Shapira,5206,Low
391,Neta Friedman,22,Female,Shapira,5805,High
392,Avigail Biton,30,Female,Neve Tzedek,12829,Moderate
393,Ben Katz,26,Male,Shapira,5897,High
394,Maya Dahan,22,Female,Ajami,4868,High
395,Hadar Dahan,27,Female,Shapira,5483,High
396,Moshe Segal,30,Male,Ajami,5597,High
397,Itzhak Rubin,23,Male,Ajami,4904,Low
398,Sarah David,26,Female,Neve Tzedek,8471,Low
399,Michal Katz,28,Female,Neve Tzedek,8627,Moderate
400,Leah Avraham,32,Female,Neve Tzedek,8400,Low
401,Michal Mizrahi,44,Female,Ajami,5674,High
402,Dana Gabai,24,Female,Ajami,4508,High
403,Hila Katz,34,Female,Neve Tzedek,9700,Low
404,Roni Shapiro,26,Female,Shapira,5349,High
405,Gal Mizrahi,20,Male,Ajami,5598,Low
406,Lior Friedman,28,Male,Shapira,4715,High
407,Tamar Rubin,37,Female,Neve Tzedek,8686,Low
408,Lior Weiss,20,Male,Ajami,5275,Low
409,Matan Goldberg,21,Male,Ajami,5731,High
410,Matan Avraham,28,Male,Shapira,5865,High
411,Maya Levi,26,Female,Shapira,4837,High
412,Omer Cohen,23,Male,Ajami,5074,High
413,Eli Cohen,44,Male,Neve Tzedek,9680,Low
414,Shani Katz,30,Female,Neve Tzedek,11166,Low
415,Moshe Haddad,24,Male,Shapira,5504,Low
416,Yosef Ohayon,21,Male,Ajami,4010,High
417,Leah Goldberg,21,Female,Ajami,4172,High
418,Moshe Biton,44,Male,Ajami,4120,High
419,Gal Cohen,35,Male,Ajami,4587,High
420,Hila Mizrahi,29,Female,Neve Tzedek,12965,Low
421,Ariel Rubin,32,Male,Neve Tzedek,11038,Low
422,Ido Dahan,25,Male,Neve Tzedek,12311,Low
423,Shani Katz,20,Female,Shapira,4238,High
424,Noa Peretz,23,Female,Ajami,5828,High
425,Sarah Bar,37,Female,Ajami,5403,Low
426,Adi Gabai,21,Female,Ajami,5904,High
427,Avigail Rubin,30,Female,Ajami,4923,Low
428,Ariel Gabai,28,Male,Neve Tzedek,8251,Low
429,Daniel Avraham,38,Male,Neve Tzedek,12408,Low
430,Adi Cohen,25,Female,Neve Tzedek,11913,Low
431,Noa Avraham,23,Female,Shapira,5773,High
432,Daniel Mizrahi,20,Male,Shapira,4227,High
433,Eli Azoulay,29,Male,Shapira,4614,High
434,Dana Biton,26,Female,Ajami,4866,Low
435,Eli Rubin,24,Male,Ajami,4258,High
436,Sarah Cohen,24,Female,Ajami,5236,Low
437,Leah Weiss,22,Female,Ajami,5882,High
438,Sarah Biton,35,Female,Neve Tzedek,9164,Moderate
439,Yonatan Ohayon,50,Male,Ajami,5010,High
440,Omer Weiss,25,Male,Neve Tzedek,10408,Moderate
441,Adi Biton,21,Female,Shapira,4260,High
442,Leah Dahan,45,Female,Neve Tzedek,12357,Moderate
443,Tamar Bar,21,Female,Ajami,4199,Low
444,Matan Bar,46,Male,Ajami,5431,High
445,Hila Avraham,21,Female,Shapira,4557,High
446,Shira Mizrahi,42,Female,Shapira,4534,High
447,Neta Mizrahi,20,Female,Ajami,4948,Low
448,Roni Haddad,26,Female,Ajami,5376,High
449,Talia Azoulay,41,Female,Ajami,5199,High
450,Yonatan Mizrahi,45,Male,Ajami,4720,High
451,Eli Azoulay,36,Male,Neve Tzedek,11569,Low
452,Tomer Azoulay,35,Male,Ajami,5951,High
453,Yosef Peretz,20,Male,Shapira,4256,High
454,Ariel Bar,20,Male,Shapira,4616,High
455,Matan Mizrahi,28,Male,Ajami,5659,Low
456,Liat Rubin,21,Female,Shapira,5635,Low
457,Ido Biton,20,Male,Ajami,4356,High
458,Matan Gabai,25,Male,Neve Tzedek,12022,Low
459,Rotem Katz,28,Female,Ajami,4345,High
460,Neta Haddad,43,Female,Shapira,5353,Low
461,Maya Cohen,39,Female,Shapira,5800,Low
462,Ben Friedman,45,Male,Ajami,4414,High
463,Adi David,27,Female,Ajami,4016,High
464,Itzhak Levi,39,Male,Neve Tzedek,10953,Low
465,Adam Goldberg,35,Male,Shapira,4667,High
466,Avigail Cohen,40,Female,Neve Tzedek,8161,Low
467,Roni Weiss,23,Female,Ajami,4578,High
468,Noam Peretz,32,Male,Neve Tzedek,11882,Low
469,Noam Bar,41,Male,Ajami,4470,High
470,Avigail Bar,30,Female,Neve Tzedek,11786,Low
471,Adi Azoulay,30,Female,Neve Tzedek,10198,Low
472,Ido Segal,26,Male,Neve Tzedek,11758,Moderate
473,Michal Haddad,24,Female,Shapira,4473,High
474,Noa Weiss,25,Female,Neve Tzedek,12613,Low
475,Shira Weiss,37,Female,Ajami,4282,High
476,Esther Azoulay,23,Female,Ajami,5640,High
477,Eitan Gabai,27,Male,Ajami,4993,High
478,Yonatan Shapiro,21,Male,Shapira,5017,High
479,Ben Segal,27,Male,Neve Tzedek,9522,Low
480,Roni Mizrahi,46,Female,Ajami,4395,Low
481,Liat Levi,29,Female,Neve Tzedek,11327,Low
482,Noa Gabai,23,Female,Ajami,4187,Low
483,Neta Mizrahi,38,Female,Ajami,4832,High
484,Noam Bar,22,Male,Ajami,5889,High
485,Tomer David,25,Male,Neve Tzedek,9732,Low
486,Leah Dahan,35,Female,Ajami,4707,High
487,Hila Gabai,21,Female,Ajami,5322,High
488,Uri Gabai,31,Male,Neve Tzedek,8448,Low
489,Uri Bar,24,Male,Ajami,5149,High
490,Omer Haddad,35,Male,Neve Tzedek,9401,Moderate
491,Esther Azoulay,44,Female,Shapira,5100,High
492,Liat Friedman,38,Female,Neve Tzedek,12531,Low
493,Itzhak Shapiro,37,Male,Shapira,5867,Low
494,Avigail Friedman,21,Female,Shapira,5095,High
495,Moshe Dahan,37,Male,Shapira,5147,Low
496,Neta Weiss,22,Female,Shapira,5182,Low
497,Noa Cohen,37,Female,Shapira,5795,High
498,Hila Gabai,36,Female,Neve Tzedek,8044,Low
499,Noam Peretz,28,Male,Ajami,5054,High
500,Leah Ohayon,28,Female,Neve Tzedek,12432,Low
501,Avraham Dahan,38,Male,Ajami,4729,High
502,Dana Avraham,28,Female,Neve Tzedek,8738,Low
503,Adam David,39,Male,Ajami,4660,High
504,Sarah Goldberg,29,Female,Ajami,5912,High
505,Yael Friedman,21,Female,Shapira,5116,High
506,Noam Weiss,26,Male,Ajami,5859,Low
507,Rotem Segal,28,Female,Neve Tzedek,8930,Low
508,Neta Dahan,32,Female,Neve Tzedek,12748,Moderate
509,Maya Mizrahi,38,Female,Neve Tzedek,9643,Low
510,Michal Mizrahi,26,Female,Shapira,5308,High
511,Ido Avraham,33,Male,Ajami,4098,Low
512,Ido David,22,Male,Shapira,5714,High
